#,"How old are you?","What's your gender?",Other,"Which country are you a citizen of?","Which country do you currently live in?","About how many people live in your city?","Are you an ethnic minority in your country?","Which language do you you speak at home with your family?","What's the highest degree or level of school you have completed?","What was the main subject you studied in university?","What's your marital status?","Do you financially support any dependents?","Do you have children?","How many children do you have?","Do you financially support any elderly relatives or relatives with disabilities?","Do you have any debt?","Do you have a home mortgage?","About how much do you owe on your home mortgage (in US Dollars)?","Do you have student loan debt?","About how much do you owe in student loans (in US Dollars)?","Regarding employment status, are you currently...",Other,"Which field do you work in?",Other,"About how much money did you make last year (in US dollars)?","About how many minutes does it take you to get to work each day?","Do you consider yourself under-employed?","Have you served in your country's military before?","Do you receive disability benefits from your government?","Do you have high speed internet at your home?",already_working,jobs_interested_in,want_employment_type,expected_earnings,home_or_remote,will_relocate,attended_event_types,learning_resources,hours_learning_week,months_learning,attend_bootcamp,which_bootcamp,finished_bootcamp,loan_for_bootcamp,recommend_bootcamp,total_spent_learning,podcast,how_soon_jobhunt,youtube,"Start Date (UTC)","Submit Date (UTC)","Network ID"
ea9c5eda6cf40ffccdbb957e83b01f6b,28,male,,Canada,Canada,"less than 100,000",0,English,"some high school",,"single, never married",0,,,,0,,,,,"Unable to work",,,,,,,0,1,1,No,,"freelance ",,,,,"EdX, Pluralsight / Code School, Khan Academy, Treehouse",12,12,No,,,,,200,,,,"2017-03-09 00:45:32","2017-03-09 00:47:34",2bb3e97ae9
fe5e9f175fdfbf18bcf6c85d6e042b68,29,female,,"United Kingdom","United Kingdom","between 100,000 and 1 million",,English,"some college credit, no degree",,"married or domestic partnership",0,,,,1,1,120000,1,8000,"Employed for wages",,,"Market research",40000,"30 to 44 minutes",0,0,0,1,No,"Full-Stack Web Developer","work for a medium-sized company",30000,"no preference",,"Rails Girls, Meetup.com events, workshops, conferences","Stack Overflow, Pluralsight / Code School, Codecademy, W3Schools, freeCodeCamp, Sololearn",16,12,No,,,,,0,,"I'm already applying",,"2017-03-09 00:45:52","2017-03-09 00:48:49",f4abfae20d
c5d389c1430c378314d39aaf37baee96,24,male,,Mexico,Mexico,"more than 1 million",0,Spanish,"high school diploma or equivalent (GED)",,"single, never married",0,,,,0,,,,,"Not working but looking for work",,,,,,,0,0,1,No,"Full-Stack Web Developer,   Quality Assurance Engineer, Game Developer, Back-End Web Developer,   User Experience Designer,   Front-End Web Developer","work for a medium-sized company",100000,"in an office with other developers",Yes,"conferences, hackathons","Khan Academy, freeCodeCamp, Stack Overflow, CSS Tricks, Pluralsight / Code School, Udacity",2,18,No,,,,,100,"JavaScript Jabber, JavaScript Air, Code Newbie","more than 12 months from now",,"2017-03-09 00:48:37","2017-03-09 00:49:50",0ff3f9388e
bfa90e07a60c4686ac435575f58514a1,23,female,,"United States of America","United States of America","less than 100,000",0,English,"some college credit, no degree",,"single, never married",0,,,,0,,,,,"Employed for wages",,"software development and IT",,30000,"I work from home",0,0,0,1,Yes,,,,,,,"Mozilla Developer Network (MDN), Egghead.io, Stack Overflow",5,29,No,,,,,700,"Developer Tea",,,"2017-03-09 00:48:35","2017-03-09 00:50:46",5fd14a5321
9bc46c6d281854247d3eddd95e4d2592,20,male,,"United States of America","United States of America","less than 100,000",0,English,"bachelor's degree","Computer Science","married or domestic partnership",0,,,,1,0,,1,10000,"Employed for wages",,,,20000,"Less than 15 minutes",1,0,0,1,No,,"start your own business",,,,"freeCodeCamp study groups","Udemy, Khan Academy, freeCodeCamp, W3Schools, Codecademy",15,5,No,,,,,0,"Code Newbie, CodePen Radio, Programming Throwdown",,,"2017-03-09 00:49:06","2017-03-09 00:51:03",9441508ad3
8815a65eb88a67a13d042b0fdfdd5f3e,22,male,,Spain,Germany,"more than 1 million",1,Tagalog,"no high school (secondary school)",,"single, never married",0,,,,0,,,,,"Not working but looking for work",,,,,,,0,0,0,No,"  DevOps / SysAdmin,   Data Scientist, Information Security, Data Engineer","work for a medium-sized company",40000,"in an office with other developers",Yes,,"Mozilla Developer Network (MDN), W3Schools, freeCodeCamp",50,1,No,,,,,0,"CodePen Radio","Within the next 6 months",,"2017-03-09 00:50:03","2017-03-09 00:52:37",a00dee6ab4
4aa2e89d07b3ae93b8f6b12f3695dec0,18,male,,"United States of America","United States of America","less than 100,000",0,English,"high school diploma or equivalent (GED)",,"single, never married",0,,,,1,0,,1,5500,"Employed for wages",,sales,,10000,"Less than 15 minutes",1,0,0,1,No,,"start your own business",,,,,"Codecademy, W3Schools, freeCodeCamp",5,3,No,,,,,0,"Code Newbie, CodePen Radio",,,"2017-03-09 00:51:08","2017-03-09 00:52:58",11f77f2403
a256d31c0e99274c707d2c6f30f769b4,22,male,,"Bosnia & Herzegovina","Bosnia & Herzegovina","between 100,000 and 1 million",0,Bosnian,"some college credit, no degree",,"single, never married",0,,,,0,,,,,"Doing an unpaid internship",,,,,,,0,0,1,No,"  Front-End Web Developer","work for a startup",,,,,,,,,,,,,,,I,,"2017-03-09 00:53:25","2017-03-09 00:55:30",be1c25ba5b
c77f5fe0461008095c1fed3b78fc0bbe,29,female,,"United Kingdom",Canada,"more than 1 million",0,English,"bachelor's degree",English,"single, never married",0,,,,1,0,,1,8000,"Employed for wages",,,Marketing,34800,"15 to 29 minutes",1,0,0,1,No,"Full-Stack Web Developer,   User Experience Designer,   Front-End Web Developer","work for a medium-sized company",50000,"in an office with other developers",Yes,"workshops, Ladies Learning Code","Lynda.com, Coursera, Udemy, EdX, W3Schools, freeCodeCamp, Mozilla Developer Network (MDN), Codecademy, Treehouse, Udacity, Stack Overflow, CSS Tricks",10,7,No,,,,,200,,"Within the next 6 months",,"2017-03-09 00:54:10","2017-03-09 00:56:09",9dff21a269
53ea9a9b904743a3ce8cb935aa73c069,44,female,,"United States of America","United States of America","between 100,000 and 1 million",0,English,"master's degree (non-professional)","Library Science and Administration",,,,,,,,,,,"A stay-at-home parent or homemaker",,,,,,,0,0,1,No,"Back-End Web Developer, Full-Stack Web Developer,   Front-End Web Developer","work for a nonprofit",,"from home",,"Girl Develop It","Khan Academy, freeCodeCamp, Codecademy, Lynda.com",,,No,,,,,,,"Within 7 to 12 months",,"2017-03-09 00:54:22","2017-03-09 00:57:06",e7a199e8d9
044f4310564b902b19f1e2d776b988d6,32,male,,"United States of America","United States of America","less than 100,000",0,English,"master's degree (non-professional)",English,"single, never married",0,,,,1,0,,1,25000,"Employed for wages",,sales,,20000,"30 to 44 minutes",1,0,0,1,No,"Full-Stack Web Developer","work for a nonprofit",40000,"in an office with other developers",Yes,,"Codecademy, freeCodeCamp",1,1,No,,,,,0,"Code Newbie","more than 12 months from now",,"2017-03-09 00:55:39","2017-03-09 00:57:31",4b5d882f3a
f1af88dd77fe5592954d5d8292a04abd,27,male,,"United States of America","United States of America","between 100,000 and 1 million",0,English,"bachelor's degree","Game Design","married or domestic partnership",0,,,,0,,,,,"Employed for wages",,"office and administrative support",,,"30 to 44 minutes",1,0,0,1,No,"Full-Stack Web Developer","work for a startup",60000,"in an office with other developers",No,"hackathons, Meetup.com events","Stack Overflow, Udacity, freeCodeCamp, HackerRank, Code Wars, CSS Tricks, Treehouse",40,9,Yes,"Code Fellows",Yes,No,Yes,,"Shop Talk Show, The Web Ahead","I'm already applying",,"2017-03-09 00:55:24","2017-03-09 00:58:04",4f78bf8cf8
eb78c1c3ac6cd9052aec557065070fbf,27,female,,Canada,Canada,"more than 1 million",,English,"some college credit, no degree",,"married or domestic partnership",0,,,,1,0,,0,,"Employed for wages",,"software development and IT",,,"15 to 29 minutes",0,0,0,1,No,,"start your own business",,,,,"Mozilla Developer Network (MDN), Codecademy, W3Schools, Udemy, freeCodeCamp",15,6,No,,,,,150,"Developer Tea",,,"2017-03-09 00:36:26","2017-03-09 00:59:46",6f1fbc6b2b
3d23237a292a1d0441c882ae42830e8c,29,male,,Lithuania,"United States of America","between 100,000 and 1 million",0,English,"master's degree (non-professional)","Political Science","married or domestic partnership",0,,,,0,,,,,"Employed for wages",,finance,,60000,"30 to 44 minutes",0,0,0,1,No,"Full-Stack Web Developer","work for a medium-sized company",60000,"in an office with other developers",No,"weekend bootcamps","freeCodeCamp, Mozilla Developer Network (MDN), Stack Overflow, CSS Tricks, Khan Academy, Pluralsight / Code School",6,12,No,,,,,200,"Software Engineering Radio, Ruby Rogues, JavaScript Jabber, .NET Rocks, JavaScript Air, Shop Talk Show, The Changelog, Code Newbie, Software Engineering Daily","Within the next 6 months",,"2017-03-09 01:02:17","2017-03-09 01:04:00",049bc4d083
06963f6f07a4cda66400f38de57dfdd7,32,male,,"United States of America","United States of America","less than 100,000",0,English,"bachelor's degree","General Studies","married or domestic partnership",1,1,1,0,1,1,140000,0,,"Employed for wages",,education,,36000,"15 to 29 minutes",0,0,0,1,No,"  Mobile Developer,   Front-End Web Developer, Back-End Web Developer","work for a medium-sized company",50000,"from home",,workshops,"Udemy, Lynda.com, freeCodeCamp, W3Schools, Codecademy, CSS Tricks, Treehouse",8,36,No,,,,,100,N/A,"more than 12 months from now",,"2017-03-09 01:01:33","2017-03-09 01:04:21",613d5e90c9
3a345b22c3ee0038cd6771f5a86d2e54,18,male,,"United States of America","United States of America","more than 1 million",0,English,"some college credit, no degree",,"single, never married",0,,,,0,,,,,"Employed for wages",,,Student,,"Less than 15 minutes",0,0,0,1,No,,"start your own business",,,,"workshops, conferences, hackathons","Udemy, Codecademy, freeCodeCamp, Stack Overflow, EdX, Mozilla Developer Network (MDN)",10,40,No,,,,,100,,,,"2017-03-09 01:03:00","2017-03-09 01:04:51",2362a4dcb5
484ca3788c8cee1b374c5d79a0a10a7a,22,male,,Nigeria,Nigeria,"more than 1 million",0,English,"bachelor's degree",Physics,"single, never married",1,0,,0,0,,,,,"Not working but looking for work",,,,,,,0,0,1,No,"Back-End Web Developer,   User Experience Designer, Information Security, Full-Stack Web Developer","work for a startup",50000,"no preference",Yes,,"The Odin Project, Khan Academy, Egghead.io, freeCodeCamp, Pluralsight / Code School, CSS Tricks, Treehouse, Coursera, Skillcrush, Mozilla Developer Network (MDN), Stack Overflow, Codecademy, EdX, Udemy",50,18,No,,,,,10000,,"Within the next 6 months",,"2017-03-09 01:05:11","2017-03-09 01:07:08",8a6afdf26a
45a34a1911d159473bd2d9dc1dd33edb,31,male,,"United States of America","United States of America","less than 100,000",1,English,"some college credit, no degree",,"single, never married",0,,,,1,0,,1,18000,"Employed for wages",,education,,34000,"30 to 44 minutes",0,0,0,1,No,"  Front-End Web Developer,   Mobile Developer, Game Developer, Full-Stack Web Developer","work for a medium-sized company",60000,"from home",,,"freeCodeCamp, Stack Overflow, Front End Masters",15,28,No,,,,,500,"The Changelog, JavaScript Jabber, Code Newbie, Complete Developer","Within the next 6 months",,"2017-03-09 01:06:43","2017-03-09 01:08:56",529b08bb54
ffabd424a02dfbd0a34942718ba2063f,46,female,,"United States of America","United States of America","more than 1 million",1,English,"bachelor's degree",English,"single, never married",0,,,,1,0,,1,104559,"Self-employed freelancer",,"arts, entertainment, sports, or media",,76000,"I work from home",0,0,0,1,No,"Full-Stack Web Developer,   Front-End Web Developer,   User Experience Designer, Back-End Web Developer","work for a nonprofit",90000,"in an office with other developers",No,"Women Who Code, Girl Develop It, Meetup.com events, RailsBridge","Stack Overflow, Coursera, freeCodeCamp, Code Wars, Treehouse",1,14,No,,,,,500,"Code Newbie, JavaScript Jabber","Within 7 to 12 months",,"2017-03-09 01:04:48","2017-03-09 01:09:38",7be057f130
e92283b16c7239287b1e6033ddbbece5,43,female,,"United States of America","United States of America","more than 1 million",0,English,"some high school",,"single, never married",0,,,,1,0,,0,,"Not working but looking for work",,,,,,,0,0,1,No,,"start your own business",,,,,"Treehouse, The Odin Project, Codecademy, Lynda.com, Khan Academy, Pluralsight / Code School, Skillcrush, Egghead.io, Mozilla Developer Network (MDN), HackerRank, Udemy, freeCodeCamp, Stack Overflow, CSS Tricks, W3Schools",22,1,No,,,,,500.00,"Code Newbie",,,"2017-03-09 01:08:51","2017-03-09 01:10:24",3ee4b64740
1c398c7149884bc35a587e6f7a032396,37,male,,Philippines,Philippines,"more than 1 million",0,Tagalog,"bachelor's degree","Mechanical Engineering","single, never married",1,0,,0,1,0,,0,,"Self-employed freelancer",,,,3500,"I work from home",1,0,0,0,No,,"start your own business",,,,"Meetup.com events","Lynda.com, Udemy, W3Schools, Mozilla Developer Network (MDN), Codecademy, Coursera, freeCodeCamp, Udacity, EdX, Skillcrush, Khan Academy, CSS Tricks, The Odin Project, Stack Overflow, Code Wars",20,5,No,,,,,50,"have not listened to any coding podcasts",,,"2017-03-09 01:07:13","2017-03-09 01:11:15",897f9cccdb
16682db92aa11b2afae3033d27db937a,26,male,,Mexico,Mexico,"between 100,000 and 1 million",0,Spanish,"bachelor's degree","Electrical and Electronics Engineering","single, never married",0,,,,1,0,,1,12500,"Employed for wages",,"architecture or physical engineering",,3900,"15 to 29 minutes",1,0,0,1,No,,"freelance ",,,,"freeCodeCamp study groups","Udemy, Stack Overflow, Mozilla Developer Network (MDN), Codecademy",10,2,No,,,,,20,,,,"2017-03-09 01:07:18","2017-03-09 01:12:16",db94e7e409
38ce7406f76e3921fdbc21e6791f4482,28,male,,"United States of America","United States of America","more than 1 million",0,English,"some college credit, no degree",,"married or domestic partnership",0,,,,1,1,130000,0,,"Self-employed business owner",,"office and administrative support",,70000,"I work from home",0,0,0,1,No,,"start your own business",,,,,"Udemy, Codecademy, freeCodeCamp",14,1,No,,,,,0,,,,"2017-03-09 01:09:53","2017-03-09 01:12:24",174786d4fa
c801e27368d235bad263a6f5281be7e4,32,male,,Macedonia,Macedonia,"between 100,000 and 1 million",0,Macedonian,"bachelor's degree","Computer Software Engineering","single, never married",0,,,,0,,,,,"Not working but looking for work",,,,,,,0,0,1,Yes,,,,,,"NodeSchool, Meetup.com events","Udemy, freeCodeCamp",40,20,No,,,,,4000,"JavaScript Jabber, CodePen Radio",,,"2017-03-09 01:11:04","2017-03-09 01:12:42",65b48526e5
1fee582ed7a6e38f9fecbc6b8d17bae3,23,female,,"United States of America","United States of America","between 100,000 and 1 million",1,Somali,"some college credit, no degree",,"single, never married",1,0,,1,1,0,,1,5000,"Employed for wages",,,"Payment process",11000,"15 to 29 minutes",0,0,0,1,No,"Information Security","work for a multinational corporation",60000,"no preference",Yes,,"Mozilla Developer Network (MDN), Skillcrush, Lynda.com, freeCodeCamp, CSS Tricks, W3Schools, Codecademy",5,3,No,,,,,300,"Code Newbie, Developer Tea","Within the next 6 months",,"2017-03-09 01:13:10","2017-03-09 01:17:05",bd1c505d12
335f504943d112779366ea89ace235cf,27,female,,Portugal,"United Kingdom","more than 1 million",0,Portuguese,"master's degree (non-professional)","Electrical and Electronics Engineering","single, never married",1,0,,0,0,,,,,"Employed for wages",,"software development and IT",,46700,"15 to 29 minutes",1,0,0,1,No,"Full-Stack Web Developer","work for a startup",48600,"in an office with other developers",Yes,,"Mozilla Developer Network (MDN), CSS Tricks, Coursera, Udacity, W3Schools, Stack Overflow, EdX, freeCodeCamp, Pluralsight / Code School, Codecademy, Treehouse, Egghead.io",5,14,No,,,,,4000,"The Changelog, JavaScript Jabber, Software Engineering Radio, Software Engineering Daily, Code Newbie, Giant Robots Smashing into Other Giant Robots, Developer Tea, The Web Ahead, Ruby Rogues, JavaScript Air","I haven't decided",,"2017-03-09 01:14:47","2017-03-09 01:18:37",51887f00cd
8e1b517ed9dad5f8ff5825057f2a8be0,28,male,,Chile,Chile,"less than 100,000",0,Spanish,"high school diploma or equivalent (GED)",,"married or domestic partnership",1,1,1,0,1,0,,1,5000,"Self-employed business owner",,"software development and IT",,2000,"Less than 15 minutes",1,0,0,1,No,"  Front-End Web Developer, Full-Stack Web Developer","work for a startup",24000,"in an office with other developers",Yes,"hackathons, weekend bootcamps, workshops","CSS Tricks, Codecademy, freeCodeCamp, Mozilla Developer Network (MDN), Udacity, Stack Overflow",12,3,No,,,,,1500,"CodePen Radio, Code Newbie","Within the next 6 months",,"2017-03-09 01:15:37","2017-03-09 01:19:10",02953c306f
1784676c116c0e3339de0878bd7b3113,27,female,,"United States of America","United States of America","more than 1 million",1,English,"bachelor's degree","Civil Engineering","married or domestic partnership",0,,,,1,1,270000,0,,"Not working and not looking for work",,,,,,,0,0,1,No,"Back-End Web Developer","work for a medium-sized company",55000,"in an office with other developers",No,,"Coursera, Stack Overflow, EdX",20,2,No,,,,,200,"Programming Throwdown, Immutable","Within 7 to 12 months",,"2017-03-09 01:18:21","2017-03-09 01:19:59",7fd325bde9
e13e6d5c44d66aad00b05c605a706b2c,26,male,,Canada,Canada,"more than 1 million",0,English,"master's degree (non-professional)",Education,"single, never married",0,,,,0,,,,,"Employed for wages",,"software development and IT",,40000,"15 to 29 minutes",0,0,0,1,Yes,,,,,,,"Codecademy, freeCodeCamp, Mozilla Developer Network (MDN), Udemy, Code Wars, CSS Tricks, Stack Overflow, Lynda.com, W3Schools",10,6,Yes,HackerYou,Yes,No,Yes,10000,,,,"2017-03-09 01:21:08","2017-03-09 01:22:24",4106e1f231
f5ee5619c59fedd3821395cb92f9a2f5,30,female,,"United States of America","United States of America","between 100,000 and 1 million",0,English,"master's degree (non-professional)","Women's Studies",divorced,0,,,,1,0,,1,20000,"Employed for wages",,"software development and IT",,18000,"15 to 29 minutes",0,0,0,1,Yes,,,,,,"Women Who Code, conferences, Meetup.com events, hackathons","freeCodeCamp, The Odin Project, Treehouse, Codecademy, Coursera, Stack Overflow, Mozilla Developer Network (MDN)",5,12,Yes,Epicodus,Yes,No,Yes,5000,"Code Newbie, Developer Tea",,,"2017-03-09 01:24:36","2017-03-09 01:26:12",b8ae2638d7
162df033c80c2415b6b35df25acd82db,29,male,,Romania,Romania,"more than 1 million",1,Romanian,"some college credit, no degree",,"married or domestic partnership",0,,,,1,0,,0,,"Self-employed business owner",,,design,20000,"I work from home",0,0,0,1,Yes,,,,,,,"CSS Tricks, Stack Overflow, Lynda.com, Treehouse, Mozilla Developer Network (MDN), Khan Academy",10,12,No,,,,,500,"CodePen Radio, Developer Tea, Shop Talk Show",,,"2017-03-09 01:23:35","2017-03-09 01:26:14",7425ba850e
a13231cfa5d9d93ff7145c7ae9bf5751,19,male,,Bangladesh,Malaysia,"more than 1 million",0,Bengali,"high school diploma or equivalent (GED)",,"single, never married",0,,,,0,,,,,,Student,,,,,,0,0,0,No,,"start your own business",,,,"weekend bootcamps","freeCodeCamp, EdX, Skillcrush, Codecademy, Coursera, Udacity, W3Schools, Sololearn and enki",7,0,No,,,,,4,"Learn to code with me podcast",,,"2017-03-09 01:25:14","2017-03-09 01:28:01",4ceadee040
30a4cac5c2a4950560b8e5459cca0746,19,male,,"United States of America","United States of America","more than 1 million",0,English,"some college credit, no degree",,"single, never married",0,,,,0,,,,,"Employed for wages",,sales,,12000,"15 to 29 minutes",1,0,0,1,No,"Full-Stack Web Developer","work for a startup",47000,"in an office with other developers",Yes,,"W3Schools, Codecademy, Udacity, CSS Tricks, freeCodeCamp, Stack Overflow",10,12,No,,,,,29,"The Changelog","more than 12 months from now",,"2017-03-09 01:26:44","2017-03-09 01:28:21",12972adbc7
a84b41f0dc3c9c566170ec8a0ef89801,27,male,,Serbia,Italy,"between 100,000 and 1 million",1,Serbo-Croatian,"high school diploma or equivalent (GED)",,"single, never married",0,,,,0,,,,,"Employed for wages",,sales,,14000,"15 to 29 minutes",0,0,0,1,No,"  Front-End Web Developer,   Data Scientist, Full-Stack Web Developer,   Mobile Developer","work for a startup",25000,"in an office with other developers",Yes,,"Mozilla Developer Network (MDN), Codecademy, Stack Overflow, Coursera, freeCodeCamp, W3Schools, EdX, The Odin Project, Udacity",10,,No,,,,,300,,"Within the next 6 months",,"2017-03-09 01:27:11","2017-03-09 01:30:27",8bc4bac8f2
c482f180a233c2fd0918dc3b1cd3e925,27,male,,"United States of America","United States of America","more than 1 million",1,English,"bachelor's degree","Music Theory and Composition","single, never married",0,,,,0,,,,,"Employed for wages",,education,,40000,"15 to 29 minutes",0,0,0,1,No,"  Front-End Web Developer","work for a startup",65000,"from home",,,"freeCodeCamp, CSS Tricks, W3Schools, The Odin Project, Stack Overflow, Lynda.com, Codecademy",12,1,No,,,,,0,"Code Newbie","Within the next 6 months",,"2017-03-09 01:29:49","2017-03-09 01:31:56",6485440344
49fced9d4e1206baf136b51d09502f18,29,male,,"United States of America","United States of America","more than 1 million",1,Korean,"some college credit, no degree",,"single, never married",0,,,,1,0,,1,30000,"Employed for wages",,"office and administrative support",,41000,"45 to 60 minutes",1,0,0,1,No,"Back-End Web Developer, Full-Stack Web Developer","work for a startup",35000,"in an office with other developers",Yes,,"freeCodeCamp, Stack Overflow, W3Schools, Mozilla Developer Network (MDN)",6,3,No,,,,,200,"Talk Python To Me","Within 7 to 12 months",,"2017-03-09 01:29:04","2017-03-09 01:32:24",8d43f4753c
0936b9855b3406f57a10f73e10d340cb,54,male,,"United States of America","United States of America","between 100,000 and 1 million",0,English,"bachelor's degree",Mathematics,"married or domestic partnership",0,,,,0,,,,,"Not working and not looking for work",,,,,,,0,1,1,No,"  Data Scientist, Information Security, Data Engineer","work for a medium-sized company",120000,"no preference",No,,"Udacity, Stack Overflow, Udemy, Data camp",15,6,No,,,,,600,,"more than 12 months from now",,"2017-03-09 01:31:12","2017-03-09 01:33:02",9864d636a9
